CsiNumber,Symbol,Name,Exchange,IsActive,StartDate,EndDate,Sector,Industry,ConversionFactor,SwitchCfDate,PreSwitchCf,LastVolume,Type,ChildExchange,Currency
99286,NKY,"Maxis Nikei 225",NYSE,1,2011-07-13,2015-09-17,,,2,,,203700,Exchange-Traded Fund,NYSE ARCA,USD
99287,XMPT,"Mv Cef Muni Etf",NYSE,1,2011-07-13,2015-09-17,,,2,,,20500,Exchange-Traded Fund,NYSE ARCA,USD
99288,SCHZ,"Schwab US Aggregate Bond ETF",NYSE,1,2011-07-14,2015-09-17,,,2,,,207400,Exchange-Traded Fund,NYSE ARCA,USD
99289,HDG,"Proshares Hedge Replication ETF",NYSE,1,2011-07-14,2015-09-17,,,2,,,2700,Exchange-Traded Fund,NYSE ARCA,USD
99290,VGEM,"Egshares Consumer Services GEMS ETF",NYSE,0,2011-06-23,2013-10-04,,,2,,,,Exchange-Traded Fund,,USD
99291,DFVL,"Ipath US Treasury 5-Year Bull ETN",OTC,1,2011-07-12,2015-09-17,,,2,,,300,Exchange-Traded Fund,Nasdaq Global Market,USD
99292,DFVS,"Ipath US Treasury 5-Year Bear ETN",OTC,1,2011-07-12,2015-09-17,,,2,,,500,Exchange-Traded Fund,Nasdaq Global Market,USD
99293,GGEM,"Egshares Consumer Goods GEMS ETF",NYSE,0,2011-06-23,2013-10-04,,,2,,,,Exchange-Traded Fund,,USD
99294,LGEM,"Egshares Basic Materials GEMS ETF",NYSE,0,2011-06-23,2013-10-04,,,2,,,,Exchange-Traded Fund,,USD
99441,SMLD,"Bofaml Hedge Fund Factor Dollar ETF",LSE,0,2010-08-04,2012-07-25,,,2,,,,Exchange-Traded Fund,London Stock Exchange,
99453,TOTS,"Direxion Total Market Bear 1X Shares",NYSE,1,2011-08-04,2015-09-17,,,2,,,800,Exchange-Traded Fund,NYSE ARCA,USD
99455,EWMD,"Rydex S&P Midcap 400 Equal Weight ETF",NYSE,0,2011-08-04,2013-08-08,,,2,,,,Exchange-Traded Fund,,USD
99456,EWSM,"Guggenheim S&P Smallcap 600 Eql Wght ETF",NYSE,0,2011-08-04,2013-08-08,,,2,,,,Exchange-Traded Fund,,USD
99457,HILO,"Ega Em Gbl Etf",NYSE,1,2011-08-04,2015-09-17,,,2,,,0,Exchange-Traded Fund,NYSE ARCA,USD
99470,MORT,"Market Vectors Mortgage REIT Income ETF",NYSE,1,2011-08-17,2015-09-17,,,2,,,22700,Exchange-Traded Fund,NYSE ARCA,USD
99471,IGEM,"Egshares Industrials GEMS ETF",NYSE,0,2011-06-23,2013-10-04,,,2,,,,Exchange-Traded Fund,,USD
99472,XVZ,"Ipath S&P 500 Dynamic VIX ETN",NYSE,1,2011-08-18,2015-09-17,,,2,,,4100,Exchange-Traded Fund,NYSE ARCA,USD
99473,EEMS,"Ishares MSCI Emerging Markets Sm Cap",NYSE,1,2011-08-18,2015-09-17,,,2,,,68100,Exchange-Traded Fund,NYSE ARCA,USD
99474,TZW,"Ishares Target Date 2045",NYSE,0,2011-08-18,2014-10-14,,,2,,,,Exchange-Traded Fund,,USD
99476,INCO,"EG Shares India Consumer ETF",NYSE,1,2011-08-10,2015-09-17,,,2,,,77700,Exchange-Traded Fund,NYSE ARCA,USD
99483,TZY,"Ishares Target Date 2050",NYSE,0,2011-08-31,2014-10-14,,,2,,,,Exchange-Traded Fund,,USD
99489,S100,"SRCE FTSE 100",LSE,1,2009-09-07,2015-09-17,,,2,,,3900,Exchange-Traded Fund,London Stock Exchange,GBp
99490,S250,"SRCE FTSE 250",LSE,1,2009-09-07,2015-09-17,,,2,,,0,Exchange-Traded Fund,London Stock Exchange,GBp
99491,QUID,"PIMCO GBP SHT",LSE,1,2011-06-15,2015-09-17,,,2,,,5600,Exchange-Traded Fund,London Stock Exchange,GBP
99492,MINT,"PIMCO USD SHORT",LSE,1,2011-02-24,2015-09-17,,,2,,,200,Exchange-Traded Fund,London Stock Exchange,USD
99493,RDXS,"SRCE RDX ETF",LSE,1,2010-01-28,2015-09-17,,,2,,,800,Exchange-Traded Fund,London Stock Exchange,USD
99494,SPXS,"SRCE S&P500",LSE,1,2010-05-25,2015-09-17,,,2,,,4800,Exchange-Traded Fund,London Stock Exchange,USD
99495,VIXS,"SRCE S&P VIX ST",LSE,0,2010-06-24,2015-05-05,,,2,,,,Exchange-Traded Fund,London Stock Exchange,USD
99496,XLYS,"SRCE US CON DIS",LSE,1,2010-01-05,2015-09-17,,,2,,,5900,Exchange-Traded Fund,London Stock Exchange,USD
99497,XLPS,"SRCE US CON STA",LSE,1,2010-01-05,2015-09-17,,,2,,,300,Exchange-Traded Fund,London Stock Exchange,USD
99498,XLES,"SRCE US ENERGY",LSE,1,2010-01-05,2015-09-17,,,2,,,3000,Exchange-Traded Fund,London Stock Exchange,USD
99499,XLVS,"SRCE US HEALTH",LSE,1,2010-01-05,2015-09-17,,,2,,,3400,Exchange-Traded Fund,London Stock Exchange,USD
99657,PFH,"Powshar Funda High Yield Corp Bond Hedge",TSX,1,2011-08-23,2015-09-17,,,2,,,100,Exchange-Traded Fund,Toronto Stock Exchange,CAD
99716,SIZ,"Quantshares U.S. Market Neutral Size Fun",NYSE,1,2011-09-06,2015-09-17,,,2,,,0,Exchange-Traded Fund,NYSE ARCA,USD
99717,MOM,"Quantshares U.S. Market Neutral Momentum",NYSE,1,2011-09-06,2015-09-17,,,2,,,3300,Exchange-Traded Fund,NYSE ARCA,USD
99758,XLIS,"SRCE US INDUSTR",LSE,1,2010-01-05,2015-09-17,,,2,,,4900,Exchange-Traded Fund,London Stock Exchange,USD
99759,XLBS,"SRCE US MATERIA",LSE,1,2010-01-05,2015-09-17,,,2,,,0,Exchange-Traded Fund,London Stock Exchange,USD
99760,XLUS,"SRCE US UTILS",LSE,1,2010-01-05,2015-09-17,,,2,,,0,Exchange-Traded Fund,London Stock Exchange,USD
99775,BTAL,"Quantshares U.S. Market Ntrl Antibeta Fd",NYSE,1,2011-09-13,2015-09-17,,,2,,,1300,Exchange-Traded Fund,NYSE ARCA,USD
99776,BTAH,"Quantshs Us Etf",NYSE,0,2011-09-13,2012-11-02,,,2,,,,Exchange-Traded Fund,,USD
99777,CHEP,"Quantshares U.S. Market Neutral Value Fd",NYSE,1,2011-09-13,2015-09-17,,,2,,,0,Exchange-Traded Fund,NYSE ARCA,USD
99795,CUD,"Ishares US Divid Growers Index ETF Hedge",TSX,1,2011-09-27,2015-09-17,,,2,,,18200,Exchange-Traded Fund,Toronto Stock Exchange,CAD
99796,IVOP,"Ipath Inverse S&P 500 VIX Short",NYSE,1,2011-09-19,2015-09-17,,,2,,,0,Exchange-Traded Fund,NYSE ARCA,USD
99797,PFIG,"Powershares Fundamental Invest",NYSE,1,2011-09-15,2015-09-17,,,2,,,800,Exchange-Traded Fund,NYSE ARCA,USD
99798,SOYB,"Teucrium Soybean Fund ETV",NYSE,1,2011-09-19,2015-09-17,,,2,,,3000,Exchange-Traded Fund,NYSE ARCA,USD
99799,CANE,"Teucrium Sugar Fund ETV",NYSE,1,2011-09-19,2015-09-17,,,2,,,8400,Exchange-Traded Fund,NYSE ARCA,USD
99800,WEAT,"Teucrium Wheat Fund ETV",NYSE,1,2011-09-19,2015-09-17,,,2,,,32500,Exchange-Traded Fund,NYSE ARCA,USD
99802,TILT,"Flexshares Mornigstar US Market",NYSE,1,2011-09-22,2015-09-17,,,2,,,6800,Exchange-Traded Fund,NYSE ARCA,USD
99803,GUNR,"Flexshares Morningstar Global Upstream N",NYSE,1,2011-09-22,2015-09-17,,,2,,,174400,Exchange-Traded Fund,NYSE ARCA,USD
99804,TDTT,"Flexshares Iboxx 3-Year Target Duration",NYSE,1,2011-09-23,2015-09-17,,,2,,,92300,Exchange-Traded Fund,NYSE ARCA,USD
99805,TDTF,"Flexshares Iboxx 5-Year Target Duration",NYSE,1,2011-09-22,2015-09-17,,,2,,,27200,Exchange-Traded Fund,NYSE ARCA,USD
99806,XAR,"SPDR S&P Aerospace & Defense ETF",NYSE,1,2011-09-29,2015-09-17,,,2,,,5800,Exchange-Traded Fund,NYSE ARCA,USD
99807,XHS,"SPDR S&P Health Care Services ETF",NYSE,1,2011-09-29,2015-09-17,,,2,,,26100,Exchange-Traded Fund,NYSE ARCA,USD
99808,XSW,"SPDR S&P Software & Services ETF",NYSE,1,2011-09-29,2015-09-17,,,2,,,62500,Exchange-Traded Fund,NYSE ARCA,USD
99814,SGGG,"Russell Small Cap Agressive Growth ETF",OTC,0,2011-10-05,2012-10-23,,,2,,,,Exchange-Traded Fund,,USD
99815,SCTR,"Russell Small Cap Contrarian ETF",OTC,0,2011-10-05,2012-10-05,,,2,,,,Exchange-Traded Fund,,USD
99816,SCOG,"Russell Small Cap Consistent Growth ETF",OTC,0,2011-10-05,2012-10-23,,,2,,,,Exchange-Traded Fund,,USD
99817,SCLP,"Russell Small Cap Low P/E ETF",OTC,0,2011-10-05,2012-10-23,,,2,,,,Exchange-Traded Fund,,USD
99820,TTFS,"Trimtabs Fl Shrk",NYSE,1,2011-10-05,2015-09-17,,,2,,,14600,Exchange-Traded Fund,NYSE ARCA,USD
99822,SVXY,"Proshares Short VIX Short-Term Fut ETF",NYSE,1,2011-10-04,2015-09-17,,,2,,,9011900,Exchange-Traded Fund,NYSE ARCA,USD
99823,UVXY,"Proshares Ultra VIX Short-Term Fut ETF",NYSE,1,2011-10-04,2015-09-17,,,2,,,25435100,Exchange-Traded Fund,NYSE ARCA,USD
99824,FXCH,"Currencyshares Chinese Renminbi Trust",NYSE,1,2011-10-04,2015-09-17,,,2,,,0,Exchange-Traded Fund,NYSE ARCA,USD
99826,KOLD,"Proshares Ul Ecl",NYSE,1,2011-10-06,2015-09-17,,,2,,,12800,Exchange-Traded Fund,NYSE ARCA,USD
99827,BOIL,"Proshares Ul Ecl",NYSE,1,2011-10-06,2015-09-17,,,2,,,89100,Exchange-Traded Fund,NYSE ARCA,USD
99831,DSLV,"Velocitysharestm 3X Inverse Silver ETN L",OTC,1,2011-10-17,2015-09-17,,,2,,,65600,Exchange-Traded Fund,Nasdaq Global Market,USD
99832,USLV,"Velocitysharestm 3X Long Silver ETN Link",OTC,1,2011-10-17,2015-09-17,,,2,,,638700,Exchange-Traded Fund,Nasdaq Global Market,USD
99840,DSUM,"Pwrshrs Chinese Yuan Dim Sum Bd Portfl",NYSE,1,2011-09-23,2015-09-17,,,2,,,55500,Exchange-Traded Fund,NYSE ARCA,USD
99841,CHLC,"Market Vectors Renminbi Bond",NYSE,0,2011-10-12,2014-12-12,,,2,,,,Exchange-Traded Fund,,USD
99842,UGLD,"Velocitysharestm 3X Long Gold",OTC,1,2011-10-17,2015-09-17,,,2,,,380200,Exchange-Traded Fund,Nasdaq Global Market,USD
99843,DGLD,"Velocitysharestm 3X Inverse Gold",OTC,1,2011-10-17,2015-09-17,,,2,,,16900,Exchange-Traded Fund,Nasdaq Global Market,USD
99846,SCHD,"Schwab US Dividend Equity ETF",NYSE,1,2011-10-20,2015-09-17,,,2,,,441100,Exchange-Traded Fund,NYSE ARCA,USD
99847,USMV,"Ishares MSCI USA Minimum Volatility",NYSE,1,2011-10-20,2015-09-17,,,2,,,1355300,Exchange-Traded Fund,NYSE ARCA,USD
99852,KBWB,"Powershares KBW Bank Portfolio",NYSE,1,2011-11-01,2015-09-17,,,2,,,134300,Exchange-Traded Fund,NYSE ARCA,USD
99853,KBWC,"Powershares KBW Capital Markets Portfol",NYSE,1,2011-11-01,2015-09-17,,,2,,,1600,Exchange-Traded Fund,NYSE ARCA,USD
99854,KBWI,"Powershares KBW Insurance Portfolio",NYSE,1,2011-11-01,2015-09-17,,,2,,,500,Exchange-Traded Fund,NYSE ARCA,USD
99855,KBWR,"Powershares KBW Regional Banking Portfol",NYSE,1,2011-11-01,2015-09-17,,,2,,,5500,Exchange-Traded Fund,NYSE ARCA,USD
99861,XLBT,"Russell Developed Ex-U.S. Low Beta ETF",NYSE,0,2011-11-03,2012-10-16,,,2,,,,Exchange-Traded Fund,,USD
99871,JGBS,"DB Inverse Japan",NYSE,1,2011-11-09,2015-09-17,,,2,,,100,Exchange-Traded Fund,NYSE ARCA,USD
99872,JGBD,"DB 3X Inverse Ja",NYSE,1,2011-11-09,2015-09-17,,,2,,,8000,Exchange-Traded Fund,NYSE ARCA,USD
99884,CPER,"United States Copper Index Fund",NYSE,1,2011-11-15,2015-09-17,,,2,,,5200,Exchange-Traded Fund,NYSE ARCA,USD
99888,IPFF,"Ishares S&P Intl Prefer Stock Index",NYSE,1,2011-11-17,2015-09-17,,,2,,,112500,Exchange-Traded Fund,NYSE ARCA,USD
99900,RMB,"Guggenheim Yuan Bond ETF",NYSE,0,2011-09-22,2013-06-14,,,2,,,,Exchange-Traded Fund,,USD
99904,EFAV,"Ishares MSCI EAFE Minimum Volatility",NYSE,1,2011-10-20,2015-09-17,,,2,,,463600,Exchange-Traded Fund,NYSE ARCA,USD
